UnidadesManejo,Clasificacion,CodigoCauce,Superficie,LongTotal,LongRevest,EfRevest,LongHijuelas,PorcRevest,EfTierra,EfGlobal,Caudal,CoefMoritz,PerdidaPorcentaje,TiempoMojado,PerdidaTiempo,EfUM,CaudalObrador,CaudalBalance,EfAp
2º Fuenzalida,hijuela,5720,82.28,16.76,3.07,0.99,13.64,,0.7,0.99,25.5,0.36,0.01,0.6,0.01,0.7,,,
PD2004 Arroyo Claro,,5725,,,,,,,,50,,,,,,24.9,,,20.23
Arroyo Grande,canal,5738,179.98,5.76,0.85,0.99,4.91,,0.79,0.81,0.05,0.3,0.23,0.8,0.19,0.78,,21.45,
Arroyo Grande,hijuela,5739,1302.32,41.68,6.14,0.99,35.53,,0.79,0.79,0.4,0.3,0.35,0.6,0.21,0.78,,,
Arroyo Cª La Quebrada,canal,5749,167.5,2.53,0.24,0.99,0.93,,0.88,0.9,0.05,0.4,0.12,0.8,0.1,0.88,,,
Arroyo Cª La Quebrada,hijuela,5750,31.2,1.47,0.14,0.99,0.54,,0.88,0.78,0.01,0.4,0.28,0.8,0.22,0.88,,,
Salamanca,hijuela,5762,38.52,1.06,0.19,0.99,0.86,,0.7,0.9,0.01,0.32,0.16,0.6,0.1,0.7,,,
Arroyo Villegas,hijuela,5772,1270.49,37.88,0.39,0.99,34.2,,0.8,0.8,0.31,0.34,0.6,0.2,0.2,0.79,,,
Arroyo Villegas,canal,5772,178.84,5.21,0.05,0.99,4.7,,0.8,0.82,0.31,0.23,0.8,0.18,0.12,0.79,0.75,9.08,
Dumas ,hijuela,5773,1073.91,32.54,5.97,0.99,26.48,,0.7,0.77,0.33,0.3,0.46,0.5,0.23,0.7,,,
Dumas ,rama,5773,22,0.13,0.02,0.99,0.11,,0.7,0.99,0.01,0.3,0.03,0.5,0.01,0.7,,,
R Yaucha,rama,5774,117.77,6.29,1.15,0.99,5.12,,0.7,0.73,0.04,0.3,0.54,0.5,0.27,0.7,,,
Horqueta,hijuela,5774,3.14,0.33,0.06,0.99,0.27,,0.7,0.77,0,0.32,0.38,0.6,0.23,0.7,,,
Otoño,canal,5902,258.37,15.28,1,0.99,14.28,,0.74,0.71,0.07,0.3,0.37,0.8,0.29,0.74,,,
La Pampa,hijuela,9700,475.43,20.06,5.24,0.99,14.82,,0.81,0.8,0.33,0.4,0.25,0.8,0.2,0.81,,,
La Pampa,canal,9700,90.07,3.22,0.84,0.99,2.38,,0.81,0.88,0.06,0.4,0.15,0.8,0.12,0.81,,,
PD2004 Tupungato,,9700,,,,,,,,46,,,,,,36.21,,,65.74
La Palma,hijuela,9705,475.43,20.06,5.24,0.99,14.82,,0.74,0.71,0.33,0.4,0.25,0.8,0.2,0.81,,,
Matriz Este Unificado,,9707,3125.8,126.72,18.25,0.99,105.12,0.144018308,0.97,0.96,,,,,,0.96,0.168,,
Las Tunas- Mz Tupungato,canal,9708,,33.09,1.98,0.98,5.11,,0.92,0.92,0.78,0.75,0.09,1,0.09,0.9,,,
Esquina- Mz Tupungato,canal,9709,1127.46,7.09,1.98,0.99,5.11,,0.92,0.91,0.78,0.75,0.09,1,0.09,0.92,,,
Ancón- Matriz Tupungato,canal,9710,1127.46,2.18,0.31,0.99,1.81,,0.97,0.98,0.78,0.35,0.02,0.9,0.02,0.96,,3.45,
Bastías,hijuela,9711,32.04,3.63,0.52,0.99,3.01,,0.97,0.8,0.02,0.3,0.25,0.8,0.2,0.96,,,
Pallares,hijuela,9712,39.15,0.01,0,0.99,0.01,,0.97,0.99,0.0004,0.3,0.02,0.4,0.01,0.96,,,
Ancon,canal,9713,928.5,33.9,4.88,0.99,20.83,,0.78,0.75,0.28,0.3,0.31,0.8,0.25,0.96,,,
Sauce- Mz Tupungato,canal,9715,928.5,33.9,4.88,0.99,28.12,,0.97,0.84,0.65,0.3,0.2,0.8,0.16,0.96,,7.2,
Palomares ,hijuela,9716,413.47,25.11,3.62,0.99,20.83,,0.97,0.75,0.28,0.3,0.31,0.8,0.25,0.96,,,
