UM,Cauce,CodigoCauce,EfC,Superficie,LongitudRed,Revestida,SinRevestir,RevestPorc,,,
Canal Mz.San Martín,Rama Montecaseros Hijuela Gutierrez,2236,86.97,8711.82,279663.76,12784.78,266878.98,0.046,,,
Canal Mz.San Martín,Rama Montecaseros Hijuela 8ª Ñango,2237,86.97,8711.82,279663.76,12784.78,266878.98,0.046,,,
Canal Mz.San Martín,Rama Montecaseros Hijuela 8ª Ñango Ramo Vargas,2238,86.97,8711.82,279663.76,12784.78,266878.98,0.046,,,
Canal Mz.San Martín,Rama Montecaseros Hijuela 8ª Ñango Ramo Santamarina,2239,86.97,8711.82,279663.76,12784.78,266878.98,0.046,,,
Canal Mz.San Martín,Rama Montecaseros Hijuela Nanclares,2240,86.97,8711.82,279663.76,12784.78,266878.98,0.046,,,
NORTE ALTO VERDE,RAMA NORTE ALTO VERDE,2271,84.97,5476.66,136763.78,12180.16,124583.62,0.089,,,
Canal Mz.San Martín,Rama Norte Alto Verde Hijuela Nº 1,2272,84.97,5476.66,136763.78,12180.16,124583.62,0.089,,,
Canal Mz.San Martín,Rama Norte Alto Verde Hijuela Nº 2,2273,84.97,5476.66,136763.78,12180.16,124583.62,0.089,,,
Canal Mz.San Martín,Rama Norte Alto Verde Hijuela Nº 3,2274,84.97,5476.66,136763.78,12180.16,124583.62,0.089,,,
Canal Mz.San Martín,"Rama Norte Alto Verde Hijuela Nº 4""POBLACIONAL""",2275,84.97,5476.66,136763.78,12180.16,124583.62,0.089,,,
Canal Mz.San Martín,Rama Norte Alto Verde Hijuela Nº 5,2276,84.97,5476.66,136763.78,12180.16,124583.62,0.089,,,
Canal Mz.San Martín,"Rama Norte Alto Verde Hijuela Nº 6 ""BREYER""",2277,84.97,5476.66,136763.78,12180.16,124583.62,0.089,,,
Canal Mz.San Martín,"Rama Norte Alto Verde Hijuela Nº 6 ""VIDELA""",2278,84.97,5476.66,136763.78,12180.16,124583.62,0.089,,,
Canal Mz.San Martín,Rama Norte Alto Verde Hijuela Nº 7,2279,84.97,5476.66,136763.78,12180.16,124583.62,0.089,,,
Canal Mz.San Martín,Rama Norte Alto Verde Hijuela Nº 8,2280,84.97,5476.66,136763.78,12180.16,124583.62,0.089,,,
Canal Mz.San Martín,Rama Norte Alto Verde Hijuela Nº 9,2281,84.97,5476.66,136763.78,12180.16,124583.62,0.089,,,
Canal Mz.San Martín,Rama Norte Alto Verde Hijuela Nº10,2282,84.97,5476.66,136763.78,12180.16,124583.62,0.089,,,
Canal Mz.San Martín,Rama Norte Alto Verde Hijuela Nº11,2283,84.97,5476.66,136763.78,12180.16,124583.62,0.089,,,
Canal Mz.San Martín,Rama Norte Alto Verde Hijuela Nº12,2284,84.97,5476.66,136763.78,12180.16,124583.62,0.089,,,
Canal Mz.San Martín,Rama Norte Alto Verde Hijuela Nº13,2285,84.97,5476.66,136763.78,12180.16,124583.62,0.089,,,
Canal Mz.San Martín,Rama Norte Alto Verde Hijuela Nº14,2286,84.97,5476.66,136763.78,12180.16,124583.62,0.089,,,
Canal Mz.San Martín,Rama Norte Alto Verde Hijuela Nº15,2287,84.97,5476.66,136763.78,12180.16,124583.62,0.089,,,
Canal Mz.San Martín,Rama Norte Alto Verde Hijuela Nº16,2288,84.97,5476.66,136763.78,12180.16,124583.62,0.089,,,
Canal Mz.San Martín,Rama Norte Alto Verde Hijuela Nº17,2289,84.97,5476.66,136763.78,12180.16,124583.62,0.089,,,
Canal Mz.San Martín,Rama Norte Alto Verde Hijuela Nº18,2290,84.97,5476.66,136763.78,12180.16,124583.62,0.089,,,
Canal Mz.San Martín,Rama Norte Alto Verde Hijuela Nº19,2291,84.97,5476.66,136763.78,12180.16,124583.62,0.089,,,
Canal Mz.San Martín,Rama Norte Alto Verde Hijuela Nº20,2292,84.97,5476.66,136763.78,12180.16,124583.62,0.089,,,
Canal Mz.San Martín,Rama Norte Alto Verde Hijuela Nº21,2293,84.97,5476.66,136763.78,12180.16,124583.62,0.089,,,
Canal Mz.San Martín,Rama Norte Alto Verde Hijuela Nº22,2294,84.97,5476.66,136763.78,12180.16,124583.62,0.089,,,
Canal Mz.San Martín,Rama Norte Alto Verde Hijuela Nº23,2295,84.97,5476.66,136763.78,12180.16,124583.62,0.089,,,
Canal Mz.San Martín,Rama Norte Alto Verde Hijuela Nº24,2296,84.97,5476.66,136763.78,12180.16,124583.62,0.089,,,
Canal Mz.San Martín,Rama Norte Alto Verde Hijuela Nº25,2297,84.97,5476.66,136763.78,12180.16,124583.62,0.089,,,
Canal Mz.San Martín,Rama Norte Alto Verde Hijuela Nº26,2298,84.97,5476.66,136763.78,12180.16,124583.62,0.089,,,
Canal Mz.San Martín,Rama Norte Alto Verde Hijuela Nº27,2299,84.97,5476.66,136763.78,12180.16,124583.62,0.089,,,
Canal Mz.San Martín,Rama Norte Alto Verde Hijuela Nº28,2300,84.97,5476.66,136763.78,12180.16,124583.62,0.089,,,
Canal Mz.San Martín,Rama Norte Alto Verde Hijuela Nº29,2301,84.97,5476.66,136763.78,12180.16,124583.62,0.089,,,
Canal Mz.San Martín,Rama Norte Alto Verde Hijuela Nº30,2302,84.97,5476.66,136763.78,12180.16,124583.62,0.089,,,
Canal Mz.San Martín,Rama Norte Alto Verde Hijuela Nº31,2303,84.97,5476.66,136763.78,12180.16,124583.62,0.089,,,
Canal Mz.San Martín,Rama Norte Alto Verde Hijuela Nº32,2304,84.97,5476.66,136763.78,12180.16,124583.62,0.089,,,
Canal Mz.San Martín,"Rama Norte Alto Verde Hijuela Nº32""A""",2310,84.97,5476.66,136763.78,12180.16,124583.62,0.089,,,
Canal Mz.San Martín,Rama Norte Alto Verde Hijuela Nº33,2305,84.97,5476.66,136763.78,12180.16,124583.62,0.089,,,
Canal Mz.San Martín,Rama Norte Alto Verde Hijuela Nº34,2306,84.97,5476.66,136763.78,12180.16,124583.62,0.089,,,
Canal Mz.San Martín,Rama Norte Alto Verde Hijuela Nº35,2307,84.97,5476.66,136763.78,12180.16,124583.62,0.089,,,
Canal Mz.San Martín,Rama Norte Alto Verde Hijuela Nº36,2308,84.97,5476.66,136763.78,12180.16,124583.62,0.089,,,
Canal Mz.San Martín,Rama Norte Alto Verde Hijuela Nº37,2309,84.97,5476.66,136763.78,12180.16,124583.62,0.089,,,
NUEVA CALIFORNIA,,,80.46,2188.96,51523.58,6398.31,45125.27,0.124,,,
NUEVO GIL,CANAL NUEVO GIL. (Viene del CC2930),2432,79.88,3033.39,76773.98,7869.13,68904.85,0.102,,,
Canal Nuevo Gil,Hijuela Nº 1 (Viene del CC2931),2433,79.88,3033.39,76773.98,7869.13,68904.85,0.102,,,
Canal Nuevo Gil,Hijuela Nº 2 (Viene del CC2932),2434,79.88,3033.39,76773.98,7869.13,68904.85,0.102,,,
Canal Nuevo Gil,Hijuela Nº 3 (Viene del CC2933),2435,79.88,3033.39,76773.98,7869.13,68904.85,0.102,,,
Canal Nuevo Gil,Hijuela Nº 4 (Viene del CC2934),2436,79.88,3033.39,76773.98,7869.13,68904.85,0.102,,,
Canal Nuevo Gil,Hijuela Nº 5 (Viene del CC2935),2437,79.88,3033.39,76773.98,7869.13,68904.85,0.102,,,
Canal Nuevo Gil,Hijuela Nº 6 (Viene del CC2936),2438,79.88,3033.39,76773.98,7869.13,68904.85,0.102,,,
Canal Nuevo Gil,Hijuela Nº 7 (Viene del CC2937),2439,79.88,3033.39,76773.98,7869.13,68904.85,0.102,,,
OTOYANES,,,73.72,788.74,19824.85,229.00,19595.85,0.012,,,
OVALLE,,,98.00,89.30,6322.56,6321.56,1.00,1.000,,,
REDUCCION,,,73.69,13969.42,398852.31,7063.20,391789.11,0.018,,,
SAN MARTIN,CANAL MATRIZ SAN MARTIN,2183,71.49,2739.56,128809.28,10617.22,118192.06,0.082,,,
Canal Mz.San Martín,HIJUELA MOLINA,2184,71.49,2739.56,128809.28,10617.22,118192.06,0.082,,,
Canal Mz.San Martín,Hijuela Molina Ramo Colonia,2185,71.49,2739.56,128809.28,10617.22,118192.06,0.082,,,
Canal Mz.San Martín,Hijuela Molina Ramo Grandon,2186,71.49,2739.56,128809.28,10617.22,118192.06,0.082,,,
Canal Mz.San Martín,Hijuela Del Molino,2187,71.49,2739.56,128809.28,10617.22,118192.06,0.082,,,
Canal Mz.San Martín,Hijuela Lucero,2188,71.49,2739.56,128809.28,10617.22,118192.06,0.082,,,
Canal Mz.San Martín,Hijuela Lucero Contribuyentes de la Hij Lucero,2189,71.49,2739.56,128809.28,10617.22,118192.06,0.082,,,
Canal Mz.San Martín,TOMA EXCLUSIVA CONTRERAS,2190,71.49,2739.56,128809.28,10617.22,118192.06,0.082,,,
Canal Mz.San Martín,Hijuela Saavedra,2191,71.49,2739.56,128809.28,10617.22,118192.06,0.082,,,
Canal Mz.San Martín,Hijuela Sarramea,2192,71.49,2739.56,128809.28,10617.22,118192.06,0.082,,,
Canal Mz.San Martín,Hijuela Orfila,2619,71.49,2739.56,128809.28,10617.22,118192.06,0.082,,,
Canal Mz.San Martín,RAMA ALTO VERDE,2616,71.49,2739.56,128809.28,10617.22,118192.06,0.082,,,
SANTA ROSA,,2533,79.26,3653.19,95494.24,11554.58,83939.66,0.121,,,
Canal Mz.Santa Rosa,Hijuela Carballo,2534,79.26,3653.1875,95494.24,11554.58,83939.66,13.8,,,
Canal Mz.Santa Rosa,Hijuela Segunda,2535,79.26,3653.1875,95494.24,11554.58,83939.66,13.8,,,
Canal Mz.Santa Rosa,Hijuela Luquez Sur,2536,79.26,3653.1875,95494.24,11554.58,83939.66,13.8,,,
Canal Mz.Santa Rosa,Hijuela Luquez Norte,2537,79.26,3653.1875,95494.24,11554.58,83939.66,13.8,,,
Canal Mz.Santa Rosa,Hijuela Farrando,2538,79.26,3653.1875,95494.24,11554.58,83939.66,13.8,,,
Canal Mz.Santa Rosa,Hijuela Horqueta,2539,79.26,3653.1875,95494.24,11554.58,83939.66,13.8,,,
Canal Mz.Santa Rosa,Hijuela Román,2540,79.26,3653.1875,95494.24,11554.58,83939.66,13.8,,,
Canal Mz.Santa Rosa,Hijuela Villa Santa Rosa,2541,79.26,3653.1875,95494.24,11554.58,83939.66,13.8,,,
Canal Mz.Santa Rosa,Hijuela Carlos González,2542,79.26,3653.1875,95494.24,11554.58,83939.66,13.8,,,
Canal Mz.Santa Rosa,Hijuela L Escudero,2543,79.26,3653.1875,95494.24,11554.58,83939.66,13.8,,,
Canal Mz.Santa Rosa,Hijuela J Olmos,2544,79.26,3653.1875,95494.24,11554.58,83939.66,13.8,,,
Canal Mz.Santa Rosa,Hijuela Angelino Arenas,2545,79.26,3653.1875,95494.24,11554.58,83939.66,13.8,,,
Canal Mz.Santa Rosa,Hijuela Las Flores,2546,79.26,3653.1875,95494.24,11554.58,83939.66,13.8,,,
Canal Mz.Santa Rosa,Hijuela Los Reyes,2547,79.26,3653.1875,95494.24,11554.58,83939.66,13.8,,,
Canal Mz.Santa Rosa,Hijuela Hernández,2548,79.26,3653.1875,95494.24,11554.58,83939.66,13.8,,,
Canal Mz.Santa Rosa,Hijuela Zapata,2549,79.26,3653.1875,95494.24,11554.58,83939.66,13.8,,,
Canal Mz.Santa Rosa,Hijuela Saturnino Fá,2550,79.26,3653.1875,95494.24,11554.58,83939.66,13.8,,,
Canal Mz.Santa Rosa,Hijuela Gabrielli,2551,79.26,3653.1875,95494.24,11554.58,83939.66,13.8,,,
Canal Mz.Santa Rosa,Hijuela Demófilo Fá,2552,79.26,3653.1875,95494.24,11554.58,83939.66,13.8,,,
Canal Mz.Santa Rosa,Hijuela Venancio Carrasco,2553,79.26,3653.1875,95494.24,11554.58,83939.66,13.8,,,
Canal Mz.Santa Rosa,Hijuela Antonio Villegas,2554,79.26,3653.1875,95494.24,11554.58,83939.66,13.8,,,
Canal Mz.Santa Rosa,Hijuela José Guiñazú,2555,79.26,3653.1875,95494.24,11554.58,83939.66,13.8,,,
Canal Mz.Santa Rosa,Hijuela Leopoldo Suárez,2556,79.26,3653.1875,95494.24,11554.58,83939.66,13.8,,,
Canal Mz.Santa Rosa,Hijuela Angelino Arenas,2557,79.26,3653.1875,95494.24,11554.58,83939.66,13.8,,,
SAUCE,RAMA SAUCE,2123,84.61,3403.01,67401.42,1952.74,65448.68,0.029,,,
Canal Mz.Independencia,Rama Sauce Hijuela Tapia,2125,84.61,3403.01,67401.42,1952.74,65448.68,0.029,,,
Canal Mz.Independencia,Rama Sauce Hijuela Moraleda,2126,84.61,3403.01,67401.42,1952.74,65448.68,0.029,,,
Canal Mz.Independencia,Rama Sauce Hijuela Peñalosa,2127,84.61,3403.01,67401.42,1952.74,65448.68,0.029,,,
Canal Mz.Independencia,Rama Sauce Hijuela Miguez,2128,84.61,3403.01,67401.42,1952.74,65448.68,0.029,,,
Canal Mz.Independencia,Rama Sauce Hijuela Croizier,2129,84.61,3403.01,67401.42,1952.74,65448.68,0.029,,,
Canal Mz.Independencia,Rama Sauce Hijuela Demalde,2614,84.61,3403.01,67401.42,1952.74,65448.68,0.029,,,
SUR ALTO VERDE,RAMA SUR ALTO VERDE,2241,83.46,3638.72,101852.83,8116.53,93736.30,0.080,,,
Canal Mz.San Martín,Rama Sur Alto Verde Hijuela Nº 1,2242,83.46,3638.72,101852.83,8116.53,93736.30,0.080,,,
Canal Mz.San Martín,Rama Sur Alto Verde Hijuela Nº 2,2243,83.46,3638.72,101852.83,8116.53,93736.30,0.080,,,
Canal Mz.San Martín,Rama Sur Alto Verde Hijuela Nº 3,2244,83.46,3638.72,101852.83,8116.53,93736.30,0.080,,,
Canal Mz.San Martín,Rama Sur Alto Verde Hijuela Nº 4,2245,83.46,3638.72,101852.83,8116.53,93736.30,0.080,,,
Canal Mz.San Martín,"Rama Sur Alto Verde Hijuela Nº 4""A""",2246,83.46,3638.72,101852.83,8116.53,93736.30,0.080,,,
Canal Mz.San Martín,Rama Sur Alto Verde Hijuela Nº 5,2247,83.46,3638.72,101852.83,8116.53,93736.30,0.080,,,
Canal Mz.San Martín,Rama Sur Alto Verde Hijuela Nº 6,2248,83.46,3638.72,101852.83,8116.53,93736.30,0.080,,,
Canal Mz.San Martín,Rama Sur Alto Verde Hijuela Nº 7,2249,83.46,3638.72,101852.83,8116.53,93736.30,0.080,,,
Canal Mz.San Martín,"Rama Sur Alto Verde Hijuela Nº 7""A""",2250,83.46,3638.72,101852.83,8116.53,93736.30,0.080,,,
Canal Mz.San Martín,Rama Sur Alto Verde Hijuela Nº 8,2251,83.46,3638.72,101852.83,8116.53,93736.30,0.080,,,
Canal Mz.San Martín,Rama Sur Alto Verde Hijuela Nº 9,2252,83.46,3638.72,101852.83,8116.53,93736.30,0.080,,,
Canal Mz.San Martín,Rama Sur Alto Verde Hijuela Nº10,2253,83.46,3638.72,101852.83,8116.53,93736.30,0.080,,,
Canal Mz.San Martín,Rama Sur Alto Verde Hijuela Nº11,2254,83.46,3638.72,101852.83,8116.53,93736.30,0.080,,,
Canal Mz.San Martín,Rama Sur Alto Verde Hijuela Nº12,2255,83.46,3638.72,101852.83,8116.53,93736.30,0.080,,,
Canal Mz.San Martín,Rama Sur Alto Verde Hijuela Nº13,2256,83.46,3638.72,101852.83,8116.53,93736.30,0.080,,,
Canal Mz.San Martín,"Rama Sur Alto Verde Hijuela Nº13""A""",2257,83.46,3638.72,101852.83,8116.53,93736.30,0.080,,,
Canal Mz.San Martín,Rama Sur Alto Verde Hijuela Nº14,2258,83.46,3638.72,101852.83,8116.53,93736.30,0.080,,,
Canal Mz.San Martín,Rama Sur Alto Verde Hijuela Nº15,2259,83.46,3638.72,101852.83,8116.53,93736.30,0.080,,,
Canal Mz.San Martín,Rama Sur Alto Verde Hijuela Nº16,2260,83.46,3638.72,101852.83,8116.53,93736.30,0.080,,,
Canal Mz.San Martín,Rama Sur Alto Verde Hijuela Nº17,2261,83.46,3638.72,101852.83,8116.53,93736.30,0.080,,,
Canal Mz.San Martín,Rama Sur Alto Verde Hijuela Nº18,2262,83.46,3638.72,101852.83,8116.53,93736.30,0.080,,,
Canal Mz.San Martín,Rama Sur Alto Verde Hijuela Nº19,2263,83.46,3638.72,101852.83,8116.53,93736.30,0.080,,,
Canal Mz.San Martín,Rama Sur Alto Verde Hijuela Nº20,2264,83.46,3638.72,101852.83,8116.53,93736.30,0.080,,,
Canal Mz.San Martín,Rama Sur Alto Verde Hijuela Nº21,2265,83.46,3638.72,101852.83,8116.53,93736.30,0.080,,,
Canal Mz.San Martín,Rama Sur Alto Verde Hijuela Nº22,2266,83.46,3638.72,101852.83,8116.53,93736.30,0.080,,,
Canal Mz.San Martín,Rama Sur Alto Verde Hijuela Nº23,2267,83.46,3638.72,101852.83,8116.53,93736.30,0.080,,,
Canal Mz.San Martín,Rama Sur Alto Verde Hijuela Nº24,2268,83.46,3638.72,101852.83,8116.53,93736.30,0.080,,,
Canal Mz.San Martín,Rama Sur Alto Verde Hijuela Nº25,2269,83.46,3638.72,101852.83,8116.53,93736.30,0.080,,,
Canal Mz.San Martín,Rama Sur Alto Verde SOBRANTES,2270,83.46,3638.72,101852.83,8116.53,93736.30,0.080,,,
TRAMO MEDIO,,,81.40,3287.49,137337.46,4956.77,132380.69,0.036,,,
LA PAZ,,,76.15,57.63,66195.29,3969.44,62225.85,0.060,,,
LA PAZ,CANAL MATRIZ LA PAZ,2558,76.15,2364.49,66195.30,3969.45,62225.86,0.060,,,
Canal Mz.La Paz,Hijuela Chacritas,2559,76.15,2364.49,66195.30,3969.45,62225.86,0.060,,,
Canal Mz.La Paz,Hijuela Castro,2560,76.15,2364.49,66195.30,3969.45,62225.86,0.060,,,
Canal Mz.La Paz,Hijuela Rojas,2561,76.15,2364.49,66195.30,3969.45,62225.86,0.060,,,
Canal Mz.La Paz,Hijuela Parrales Mendocinos,2632,76.15,2364.49,66195.30,3969.45,62225.86,0.060,,,
Canal Mz.La Paz,RAMA DORMIDA,2562,76.15,2364.49,66195.30,3969.45,62225.86,0.060,,,
Canal Mz.La Paz,RDormida Hijuela Suárez,2563,76.15,2364.49,66195.30,3969.45,62225.86,0.060,,,
Canal Mz.La Paz,RDormida Hijuela Mayorga Norte Catitas,2564,76.15,2364.49,66195.30,3969.45,62225.86,0.060,,,
Canal Mz.La Paz,RDormida Hijuela Villa,2565,76.15,2364.49,66195.30,3969.45,62225.86,0.060,,,
Canal Mz.La Paz,RDormida Hijuela Lemos,2566,76.15,2364.49,66195.30,3969.45,62225.86,0.060,,,
Canal Mz.La Paz,RDormida Hijuela Segura,2567,76.15,2364.49,66195.30,3969.45,62225.86,0.060,,,
Canal Mz.La Paz,RDormida Hijuela Maure,2568,76.15,2364.49,66195.30,3969.45,62225.86,0.060,,,
Canal Mz.La Paz,RDormida Hijuela Caballero,2569,76.15,2364.49,66195.30,3969.45,62225.86,0.060,,,
Canal Mz.La Paz,RDormida Hijuela La Lonja,2570,76.15,2364.49,66195.30,3969.45,62225.86,0.060,,,
Canal Mz.La Paz,RDormida Hijuela Abruzzesse,2571,76.15,2364.49,66195.30,3969.45,62225.86,0.060,,,
Canal Mz.La Paz,RDormida HIJUELA SUR CATITAS,2577,76.15,2364.49,66195.30,3969.45,62225.86,0.060,,,
Canal Mz.La Paz,RDormida Hijuela Sur Catitas Ramo Nº 1,2578,76.15,2364.49,66195.30,3969.45,62225.86,0.060,,,
Canal Mz.La Paz,RDormida Hijuela Sur Catitas Ramo Nº 2,2579,76.15,2364.49,66195.30,3969.45,62225.86,0.060,,,
Canal Mz.La Paz,RDormida Hijuela Sur Catitas Ramo Nº 3,2580,76.15,2364.49,66195.30,3969.45,62225.86,0.060,,,
Canal Mz.La Paz,RDormida Hijuela Sur Catitas Ramo Nº 4,2581,76.15,2364.49,66195.30,3969.45,62225.86,0.060,,,
Canal Mz.La Paz,RDormida Hijuela Sur Catitas Ramo Nº 5,2582,76.15,2364.49,66195.30,3969.45,62225.86,0.060,,,
Canal Mz.La Paz,RDormida Hijuela Sur Catitas Ramo Nº 6,2583,76.15,2364.49,66195.30,3969.45,62225.86,0.060,,,
Canal Mz.La Paz,RDormida Hijuela Sur Catitas Ramo Nº 7,2584,76.15,2364.49,66195.30,3969.45,62225.86,0.060,,,
Canal Mz.La Paz,RDormida Hijuela Sur Catitas Ramo Nº 8-A,2585,76.15,2364.49,66195.30,3969.45,62225.86,0.060,,,
Canal Mz.La Paz,RDormida Hijuela Sur Catitas Ramo Nº 8-B,2586,76.15,2364.49,66195.30,3969.45,62225.86,0.060,,,
Canal Mz.La Paz,RDormida Hijuela Sur Catitas Ramo Nº10,2587,76.15,2364.49,66195.30,3969.45,62225.86,0.060,,,
Canal Mz.La Paz,RDormida Hijuela Sur Catitas Ramo Nº 9,2588,76.15,2364.49,66195.30,3969.45,62225.86,0.060,,,
Canal Mz.La Paz,RAMA SUR LA PAZ,2589,76.15,2364.49,66195.30,3969.45,62225.86,0.060,,,
Canal Mz.La Paz,Rama Sur La Paz Hijuela Del Centro,2590,76.15,2364.49,66195.30,3969.45,62225.86,0.060,,,
Canal Mz.La Paz,Rama Sur La Paz Hijuela Sur,2591,76.15,2364.49,66195.30,3969.45,62225.86,0.060,,,
Canal Mz.La Paz,Rama Sur La Paz Hijuela Mallea,2592,76.15,2364.49,66195.30,3969.45,62225.86,0.060,,,
Canal Mz.La Paz,Rama Sur La Paz Hijuela Centro,2593,76.15,2364.49,66195.30,3969.45,62225.86,0.060,,,
Canal Mz.La Paz,RAMA NORTE LA PAZ,2594,76.15,2364.49,66195.30,3969.45,62225.86,0.060,,,
Canal Mz.La Paz,Rama Norte La Paz Hijuela Alsina,2595,76.15,2364.49,66195.30,3969.45,62225.86,0.060,,,
Canal Mz.La Paz,Rama Norte La Paz Hijuela Lavalle,2596,76.15,2364.49,66195.30,3969.45,62225.86,0.060,,,
Canal Mz.La Paz,Rama Norte La Paz Hijuela Nueva Villa,2597,76.15,2364.49,66195.30,3969.45,62225.86,0.060,,,
Canal Mz.La Paz,RAMA NUEVA CALIFORNIA,2598,76.15,2364.49,66195.30,3969.45,62225.86,0.060,,,
Canal Mz.La Paz,Rama Nueva California Hijuela Norte,2599,76.15,2364.49,66195.30,3969.45,62225.86,0.060,,,
Canal Mz.La Paz,Rama Nueva California Hijuela Sur,2600,76.15,2364.49,66195.30,3969.45,62225.86,0.060,,,
DARSENA,CANAL DARSENA DIRECTO,2193,89.82,59.23,87664.73,9150.53,78514.20,0.104,,,
CANAL RIO BAMBA,CANAL RIO BAMBA,2391,73.00,,,,,,,,
Canal Río Bamba,Hijuela Escudero,2392,73.00,,,,,,,,
Canal Río Bamba,Hijuela Lotes Arboles,2393,73.00,,,,,,,,
Canal Río Bamba,"Hijuela Nº 4 ""Arenas""",2394,73.00,,,,,,,,
Canal Río Bamba,Hijuela Tonelli,2395,73.00,,,,,,,,
CANAL COBOS,CANAL COBOS,2396,,,,,,,,,
Canal Cobos,Hijuela Groezinger,2608,,,,,,,,,
CANAL ARBOLES,CANAL ARBOLES,2425,,,,,,,,,
Canal Arboles,Hijuela Norte,2426,,,,,,,,,
Canal Arboles,Hijuela Cano,2427,,,,,,,,,
Canal Arboles,Hijuela Novello,2428,,,,,,,,,
Canal Arboles,Hijuela Dufau,2429,,,,,,,,,
CANAL MEDRANO,CANAL MEDRANO,2431,81.00,,,,,,,,
CANAL MZ.SAN ISIDRO.,CANAL MZ.SAN ISIDRO.,2440,,,,,,,,,
Canal Mz.San Isidro,Hijuela Isla,2441,,,,,,,,,
Canal Mz.San Isidro,RAMA COSTA,2442,,,,,,,,,
Canal Mz.San Isidro,Rama Costa Hijuela Calderón Norte,2443,,,,,,,,,
Canal Mz.San Isidro,Rama Costa Hijuela Bravo Sur Nº 5,2444,,,,,,,,,
Canal Mz.San Isidro,Rama Costa Hijuela Bravo Norte Nº 6,2445,,,,,,,,,
Canal Mz.San Isidro,Rama Costa Hijuela Dufau,2446,,,,,,,,,
Canal Mz.San Isidro,Rama Costa Hijuela Ramirez Norte,2447,,,,,,,,,
Canal Mz.San Isidro,Rama Costa Hijuela Ramirez Sur,2448,,,,,,,,,
Canal Mz.San Isidro,Rama Costa Hijuela Gomez Norte Nº 4,2449,,,,,,,,,
Canal Mz.San Isidro,Rama Costa Hijuela Rivarola Norte 7,2450,,,,,,,,,
Canal Mz.San Isidro,Rama Costa Hijuela Cuello Norte Nº 8,2451,,,,,,,,,
Canal Mz.San Isidro,Rama Costa Hijuela Cuello Sur Nº 8,2452,,,,,,,,,
Canal Mz.San Isidro,Rama Costa Hijuela Pérez Norte Nº 9,2453,,,,,,,,,
Canal Mz.San Isidro,Rama Costa Hijuela Pérez Sur Nº 10,2454,,,,,,,,,
Canal Mz.San Isidro,Rama Costa Hijuela Pérez Sur Nº 9,2455,,,,,,,,,
Canal Mz.San Isidro,Rama Costa Hijuela Padín Sur Nº 10,2456,,,,,,,,,
Canal Mz.San Isidro,Rama Costa Hijuela Padín Norte Nº 10,2457,,,,,,,,,
Canal Mz.San Isidro,Rama Costa Hijuela Alaniz Norte,2458,,,,,,,,,
Canal Mz.San Isidro,Rama Costa Hijuela Olguín Norte Nº24,2459,,,,,,,,,
Canal Mz.San Isidro,Rama Costa Hijuela Olguín Norte Nº25,2460,,,,,,,,,
Canal Mz.San Isidro,Rama Costa Hijuela Ruarte Norte,2461,,,,,,,,,
Canal Mz.San Isidro,Rama Costa Hijuela Novillo Norte,2462,,,,,,,,,
Canal Mz.San Isidro,Rama Costa Hijuela Olguín Sur Nº 25,2463,,,,,,,,,
Canal Mz.San Isidro,Rama Costa Hijuela Herrera Norte,2464,,,,,,,,,
Canal Mz.San Isidro,Rama Costa Hijuela Galván Norte,2465,,,,,,,,,
Canal Mz.San Isidro,Rama Costa Hijuela Quiroga Sur,2466,,,,,,,,,
Canal Mz.San Isidro,Rama Costa Hijuela Padín Norte Nº 11,2467,,,,,,,,,
Canal Mz.San Isidro,Rama Costa Hijuela Velazco,2468,,,,,,,,,
Canal Mz.San Isidro,Rama Costa Hijuela Millán Norte,2469,,,,,,,,,
Canal Mz.San Isidro,Rama Costa Hijuela Millán Sur,2470,,,,,,,,,
Canal Mz.San Isidro,Rama Costa Hijuela Puebla Norte,2471,,,,,,,,,
Canal Mz.San Isidro,Rama Costa Hijuela Puebla Sur,2472,,,,,,,,,
Canal Mz.San Isidro,Rama Costa Hijuela Calvacho Norte,2473,,,,,,,,,
Canal Mz.San Isidro,Rama Costa Hijuela Calvacho Sur,2474,,,,,,,,,
Canal Mz.San Isidro,Rama Costa Hijuela González Sur,2475,,,,,,,,,
Canal Mz.San Isidro,Rama Costa Hijuela González Norte,2476,,,,,,,,,
Canal Mz.San Isidro,Rama Costa Hijuela Molina Sur,2477,,,,,,,,,
Canal Mz.San Isidro,Rama Costa Hijuela Molina Norte,2478,,,,,,,,,
Canal Mz.San Isidro,Rama Costa Hijuela Vera Norte,2479,,,,,,,,,
Canal Mz.San Isidro,Rama Costa Hijuela Vera Sur,2480,,,,,,,,,
Canal Mz.San Isidro,Rama Costa Hijuela Delgado,2481,,,,,,,,,
Canal Mz.San Isidro,Rama Costa Hijuela Olguín Sur Nº24,2482,,,,,,,,,
Canal Mz.San Isidro,Rama Costa Hijuela Quiroga Norte,2483,,,,,,,,,
Canal Mz.San Isidro,Rama Costa Hijuela Ruarte Sur,2484,,,,,,,,,
Canal Mz.San Isidro,Rama Costa Hijuela Novillo Sur,2485,,,,,,,,,
Canal Mz.San Isidro,Rama Costa Hijuela Soria Norte,2486,,,,,,,,,
Canal Mz.San Isidro,Rama Costa Hijuela Herrera Sur,2487,,,,,,,,,
Canal Mz.San Isidro,Rama Costa Hijuela Páez Norte,2488,,,,,,,,,
Canal Mz.San Isidro,RAMA MUNDO NUEVO,2490,,,,,,,,,
