UM,Cauce,CodigoCauce,EfC,Superficie,LongitudRed,Revestida,SinRevestir,RevestPorc,,,
Rama Chimba,Hijuela Higuera,2158,88.43,4498.80,139103.28,4743.02,134360.26,0.034,,,
Rama Chimba,Hijuela Miranda,2159,88.43,4498.80,139103.28,4743.02,134360.26,0.034,,,
Rama Chimba,Hijuela Miranda Ramo Mazarente,2160,88.43,4498.80,139103.28,4743.02,134360.26,0.034,,,
Rama Chimba,Hijuela Santibañez,2161,88.43,4498.80,139103.28,4743.02,134360.26,0.034,,,
Rama Chimba,Hijuela 1ª González,2162,88.43,4498.80,139103.28,4743.02,134360.26,0.034,,,
Rama Chimba,Hijuela 1ª Ramo Sixto González ,2163,88.43,4498.80,139103.28,4743.02,134360.26,0.034,,,
Rama Chimba,Hijuela Báez,2164,88.43,4498.80,139103.28,4743.02,134360.26,0.034,,,
Rama Chimba,Hijuela 2ª González,2165,88.43,4498.80,139103.28,4743.02,134360.26,0.034,,,
Rama Chimba,Hijuela 2ª González Ramo Romains,2166,88.43,4498.80,139103.28,4743.02,134360.26,0.034,,,
Rama Chimba,Hijuela 2ª González Ramo Pizarro,2167,88.43,4498.80,139103.28,4743.02,134360.26,0.034,,,
Rama Chimba,Hijuela Villegas,2168,88.43,4498.80,139103.28,4743.02,134360.26,0.034,,,
Rama Chimba,Hijuela Villegas Ramo Gallardo,2169,88.43,4498.80,139103.28,4743.02,134360.26,0.034,,,
Rama Chimba,Hijuela Alta,2170,88.43,4498.80,139103.28,4743.02,134360.26,0.034,,,
Rama Chimba,Hijuela Alta Ramo 2ª Flores,2171,88.43,4498.80,139103.28,4743.02,134360.26,0.034,,,
Rama Chimba,Hijuela Cabrera,2172,88.43,4498.80,139103.28,4743.02,134360.26,0.034,,,
Rama Chimba,Hijuela Zapata,2173,88.43,4498.80,139103.28,4743.02,134360.26,0.034,,,
Rama Chimba,Hijuela Correa,2174,88.43,4498.80,139103.28,4743.02,134360.26,0.034,,,
Rama Chimba,Hijuela Ortega,2175,88.43,4498.80,139103.28,4743.02,134360.26,0.034,,,
Rama Chimba,Hijuela Alvarez,2176,88.43,4498.80,139103.28,4743.02,134360.26,0.034,,,
Rama Chimba,Hijuela Verón,2177,88.43,4498.80,139103.28,4743.02,134360.26,0.034,,,
Rama Chimba,Hijuela Videla,2178,88.43,4498.80,139103.28,4743.02,134360.26,0.034,,,
Rama Chimba,Hijuela Chapanay,2179,88.43,4498.80,139103.28,4743.02,134360.26,0.034,,,
Rama Chimba,Hijuela Merlo Ramo 1º-1ª Herrera,2180,88.43,4498.80,139103.28,4743.02,134360.26,0.034,,,
Rama Chimba,Hijuela Merlo Ramo 1º-2ª Herrera,2181,88.43,4498.80,139103.28,4743.02,134360.26,0.034,,,
Rama Chimba,Ramo Vernier,2182,88.43,4498.80,139103.28,4743.02,134360.26,0.034,,,
CONSTITUCION,Canal Matriz Constitucion,2311,78.94,11290.45,341010.48,25180.69,315829.79,0.074,,,
Canal Mz.Constitución,RAMA MOYANO,2312,78.94,11290.45,341010.48,25180.69,315829.79,0.074,,,
Canal Mz.Constitución,Rama Moyano Hijuela Godoy,2313,78.94,11290.45,341010.48,25180.69,315829.79,0.074,,,
Canal Mz.Constitución,TOMA EXCLUSIVA Vargas,2314,78.94,11290.45,341010.48,25180.69,315829.79,0.074,,,
Canal Mz.Constitución,Hijuela Segura,2315,78.94,11290.45,341010.48,25180.69,315829.79,0.074,,,
Canal Mz.Constitución,Hijuela Sur Pié De Gallo,2316,78.94,11290.45,341010.48,25180.69,315829.79,0.074,,,
Canal Mz.Constitución,Hijuela Del Molino,2317,78.94,11290.45,341010.48,25180.69,315829.79,0.074,,,
Canal Mz.Constitución,Hijuela Norte Pié De Gallo,2318,78.94,11290.45,341010.48,25180.69,315829.79,0.074,,,
Canal Mz.Constitución,Hijuela Civit,2319,78.94,11290.45,341010.48,25180.69,315829.79,0.074,,,
Canal Mz.Constitución,Hijuela Bello,2320,78.94,11290.45,341010.48,25180.69,315829.79,0.074,,,
Canal Mz.Constitución,Hijuela Godoy,2321,78.94,11290.45,341010.48,25180.69,315829.79,0.074,,,
Canal Mz.Constitución,Hijuela Guevara,2322,78.94,11290.45,341010.48,25180.69,315829.79,0.074,,,
Canal Mz.Constitución,Hijuela Dominguez,2323,78.94,11290.45,341010.48,25180.69,315829.79,0.074,,,
Canal Mz.Constitución,Hijuela Serpa,2324,78.94,11290.45,341010.48,25180.69,315829.79,0.074,,,
Canal Mz.Constitución,Hijuela Cabrera,2325,78.94,11290.45,341010.48,25180.69,315829.79,0.074,,,
Canal Mz.Constitución,Hijuela Barrios y Guevara,2326,78.94,11290.45,341010.48,25180.69,315829.79,0.074,,,
Canal Mz.Constitución,Hijuela Reta,2327,78.94,11290.45,341010.48,25180.69,315829.79,0.074,,,
Canal Mz.Constitución,Hijuela Tonelli,2618,78.94,11290.45,341010.48,25180.69,315829.79,0.074,,,
Canal Mz.Constitución,RAMA VIEJO RETAMO,2328,78.94,11290.45,341010.48,25180.69,315829.79,0.074,,,
Canal Mz.Constitución,Rama Viejo Retamo Hijuela Salcedo,2329,78.94,11290.45,341010.48,25180.69,315829.79,0.074,,,
