CodigoCauce,Ano,Obra,Modalidad,metros,InvUsd,InvMtUsd,hectareas,clasif,ramLong,ramLongTierra,ramEfc,ramSup,hijLong,hijLongTierra,hijEfc,hijSup,canLong,canLongTierra,canEfc,canSup,longitud,haObrador,VolHa,kmTotal,EfPost,efAnte,superficie,longTierra,ahorroAgua1,ahorroAgua2,ahorroAgua3,ahorroAgua4,vAhorro1,vAhorro2,vAhorro3,vAhorro4
5774,2007,R. Yaucha 2º Et.. Unif. Yaucha Aguanda Rev.,Lic.,3085,468707.7419354839,151.9,1912.35,Hijuela,6.29,5.12,0.7,117.77,0.33,0.27,0.7,3.14,NA,NA,NA,NA,3085,1912.35,11395.1,0,0.98,0.7,1912.35,0.27,280455.0785716296,170805181.37148276,170805181.37148273,170805181.37148273,1.671,0.003,0.003,0.003
5738,2008,Arroyo Grande,Lic.,12148,2308805.1446945337,190.1,1400,Rama,NA,NA,NA,NA,NA,NA,NA,NA,5.76,4.91,0.79,179.98,12148,1400,23728,4.869492,0.98,0.78,1400,18.79,16416775.184621608,16416775.18462161,62825092.81446842,16416775.184621608,0.141,0.141,0.037,0.141
5010,2008,C. Consulta R. Norte,Lic.,790,122473.95498392283,155,3457.15,Canal,NA,NA,NA,NA,NA,NA,NA,NA,5.37,5.02,0.74,285.34,960,3457.15,9275.93,1.742034,0.98,0.74,285.34,5.02,302065.6136049621,302065.61360496207,302065.6136049621,3659795.808769871,0.405,0.405,0.405,0.033
9708,2008,Las Tunas,Lic.,33825,12334935.36977492,364.7,1501.3333333333333,otro,NA,NA,NA,NA,NA,NA,NA,NA,33.09,5.11,0.92,NA,33825,4504,12112.84,0.438498,0.98,0.78,4504,18.79,25023889.36464128,75071668.09392384,276046309.87961423,25023889.36464128,0.493,0.164,0.045,0.493
5014,2013,C. Rincón,Lic.,691.4,141439.1713747646,204.6,829.94,Canal,NA,NA,NA,NA,27.65,24.3,0.73,803.52,1.64,1.44,0.73,47.98,691.4,829.94,9275.93,0.753005,0.98,0.73,829.94,1.44,152873.96338460126,2644356.339545977,2644356.3395459773,2644356.3395459773,0.925,0.053,0.053,0.053
5708,2013,Rev. Hij. Montenegro - Ins. Yaucha Aguanda,Lic.,1030.66,194208.28625235407,188.4,143,Hijuela,NA,NA,NA,NA,7.6,6.18,0.7,143.12,NA,NA,NA,NA,1030.66,143,11080,5.420545,0.995,0.7,143.12,6.18,184199.37615201037,184199.37615201037,184199.37615201037,184044.93285171525,1.054,1.054,1.054,1.055
9727,2016,AVCLP Imp. ,Lic.,13673,2666806.5050287354,195,927.28,Canal,NA,NA,NA,NA,8.71,5.66,0.94,798.58,1.41,0.92,0.94,129.28,2063,927.3,10202,15.905479,0.98,0.94,129.28,0.92,18057040.75989593,18057040.75989593,18057040.75989593,129516806.58908027,0.148,0.148,0.148,0.021
5772,2016,AVCLP Ent. PVC,Lic.,8788,1629715.0862068965,185.4,1380,Canal,NA,NA,NA,NA,37.88,34.2,0.8,1270.49,5.21,4.7,0.8,178.84,8788,1380,11344,9.095372,1,0.8,1380,4.7,3034681.0751455324,23416796.486808512,23416796.486808512,23416796.486808512,0.537,0.07,0.07,0.07
5772,2016,AVCLP Ent. PRFV,Lic.,1632,1629715.0862068965,998.6,1380,Canal,NA,NA,NA,NA,37.88,34.2,0.8,1270.49,5.21,4.7,0.8,178.84,8788,1380,11344,9.095372,1,0.8,1380,4.7,563563.8956119149,4348681.368510638,4348681.368510638,4348681.368510638,2.892,0.375,0.375,0.375
9705,2017,Hij. Palma - Cruce Calle La Costa,Insp.,600,14705.882352941177,24.5,113,Hijuela,NA,NA,NA,NA,20.06,14.82,0.74,475.43,NA,NA,NA,NA,600,113,34252,NA,0.98,0.74,475.43,14.82,478116.09095838043,478116.09095838055,478116.09095838043,113638.42895546557,0.040920000000000005,0.040920000000000005,0.040920000000000005,0.17028000000000001
