CodigoCauce,inversion,metros,InvUsd,InvMtUsd,Ano,Modalidad,Obra,UM,Cauce,EfC,Superficie,LongitudRed,Revestida,SinRevestir,RevestPorc,EfPost,EfAnte,Qwebav,Qwebyear,Q0,PerdidaxKm,DeltaPerdida,valuePerd,valuePerdBis
2241,244000,500,244000,488,1998,Lic.,C. Alto Verde R. Sur,NA,NA,83.46,3638.72,101852.83,8116.53,93736.3,0.08,0.98,0.8345999999999999,NA,NA,NA,NA,NA,NA,NA
2396,185224,1000,185224,185.2,1999,Lic.,Imp. Cl. Cobos-T. 1,NA,NA,NA,NA,NA,NA,NA,NA,0.98,NA,NA,NA,NA,NA,NA,NA,NA
2271,206752,1300,206752,159,2000,Lic.,Imp. R. Norte Alto Verde V T.,NA,NA,84.97,5476.66,136763.78,12180.16,124583.62,0.089,0.98,0.8497,2.486,37.289,37.289,0.232,1225780,0.17,0.17
2622,238061,500,81807.90378006872,163.6,2005,Lic.,Imp. 1º Et. Otoyanes,NA,NA,NA,NA,NA,NA,NA,NA,0.98,NA,NA,NA,NA,NA,NA,NA,NA
2533,1054244,1500,338985.2090032154,226,2006,Lic.,Imp. Santa Rosa 6º Et.,NA,NA,79.26,3653.19,95494.24,11554.58,83939.66,0.121,0.98,0.7926000000000001,2.386,26.25,26.25,0.218,1329012,0.26,0.26
2194,750000,640,44117.64705882353,68.9,2017,Insp.,Can. Montecaseros  Ent. Hij. 3º Salvador,NA,NA,86.97,8711.82,279663.76,12784.78,266878.98,0.046,1,0.8697,4.271,89.684,89.684,0.279,740524,0.06,0.08
2284,2500000,2065,147058.82352941178,71.2,2017,Insp.,Rev. Can. Norte Alto Verde,NA,NA,84.97,5476.66,136763.78,12180.16,124583.62,0.089,0.995,0.8497,2.253,42.804,42.804,0.266,2266625,0.06,0.08
2623,1500000,600,88235.29411764706,147.1,2017,Insp.,Rev. Can. Norte,NA,NA,74.14,2325.81,50291.05,389.18,49901.87,0.008,0.995,0.7414000000000001,0.964,37.586,37.586,0.554,1371637,0.06,0.08
2564,1300000,1037,76470.58823529411,73.7,2017,Insp.,Rev. Can. Norte Catitas (Mayorga) ,NA,NA,76.15,2364.49,66195.3,3969.45,62225.86,0.06,0.995,0.7615000000000001,0.968,5.807,5.807,0.067,286703,0.27,0.36
2434,1000000,610,58823.529411764706,96.4,2017,Insp.,Rev. Can. Nuevo Gil - Hij. Nº 2,NA,NA,79.88,3033.39,76773.98,7869.13,68904.85,0.102,0.995,0.7988,0.219,2.19,2.19,0.023,57894,1.02,1.35
2401,1396310.4,730,82135.90588235293,112.5,2017,Insp.,Can. Chacabuco (año 2016),NA,NA,80.54,2645.48,83767.93,5120.94,78646.99,0.061,0.98,0.8054000000000001,0.255,1.018,1.018,0.01,29669,2.77,3.66
2615,752630,416,44272.35294117647,106.4,2017,Insp.,Hij. Los Yoles (años 2016),NA,NA,NA,NA,NA,NA,NA,NA,0.98,NA,0.183,2.562,2.562,NA,NA,NA,NA
2623,2200000,717,80218.77848678213,111.9,2018,Adm.,Rev. Can. Norte hasta C.Robert,NA,NA,74.14,2325.81,50291.05,389.18,49901.87,0.008,0.995,0.7414000000000001,0.964,37.586,37.586,0.554,1639106,0.05,0.07
2434,1326000,500,48350.04557885141,96.7,2018,Adm.,Rev. Hij. N°2  - Can. Nuevo Gil,NA,NA,79.88,3033.39,76773.98,7869.13,68904.85,0.102,0.995,0.7988,0.219,2.19,2.19,0.023,47454,1.02,1.35
2304,3500000,1300,127620.7839562443,98.2,2018,Adm.,Rev. Can. Norte Alto Verde (tomas 31-33) ,NA,NA,84.97,5476.66,136763.78,12180.16,124583.62,0.089,0.995,0.8497,NA,NA,NA,NA,NA,NA,NA
2397,6331038,1310,230849.1522333637,176.2,2018,Lic.,Rev. Can. Chacabuco (Et.s 10° y 11°),NA,NA,80.54,2645.48,83767.93,5120.94,78646.99,0.061,0.995,0.8054000000000001,NA,NA,NA,NA,NA,NA,NA
2558,3000000,210,109389.24339106654,520.9,2018,Adm.,Rep. Losas Can. Mz. La Paz,NA,NA,76.15,2364.49,66195.3,3969.45,62225.86,0.06,0.98,0.7615000000000001,NA,NA,NA,NA,NA,NA,NA
2577,2890644,605,105401.78669097538,174.2,2018,Lic.,Rev. Hij. SUR CATITAS,NA,NA,76.15,2364.49,66195.3,3969.45,62225.86,0.06,0.995,0.7615000000000001,NA,NA,NA,NA,NA,NA,NA
