CodigoCauce,ramLong,ramLongTierra,ramEfc,ramSup,tieLong,tieLongTierra,tieEfc,tieSup,hijLong,hijLongTierra,hijEfc,hijSup,canLong,canLongTierra,canEfc,canSup,longitud,VolHa
9716,NA,NA,NA,NA,NA,NA,NA,NA,25.11,20.83,0.97,413.47,NA,NA,NA,NA,NA,NA
9741,NA,NA,NA,NA,NA,NA,NA,NA,0.13,0.11,0.97,0.68,NA,NA,NA,NA,NA,NA
5701,NA,NA,NA,NA,NA,NA,NA,NA,94.82,77.16,0.7,1845.2,NA,NA,NA,NA,770,11395.1
9748,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.92,21.74,NA,NA,NA,NA,NA,NA
5705,NA,NA,NA,NA,NA,NA,NA,NA,26.62,21.66,0.7,518.08,NA,NA,NA,NA,NA,NA
5014,NA,NA,NA,NA,NA,NA,NA,NA,27.65,24.3,0.73,803.52,1.64,1.44,0.73,47.98,691.4,9275.93
5710,NA,NA,NA,NA,NA,NA,NA,NA,2.93,2.38,0.7,164.54,NA,NA,NA,NA,NA,NA
9739,NA,NA,NA,NA,NA,NA,NA,NA,2.54,2.11,0.97,25.31,NA,NA,NA,NA,NA,NA
5715,NA,NA,NA,NA,NA,NA,NA,NA,3.75,3.05,0.7,87.24,NA,NA,NA,NA,NA,NA
9736,NA,NA,NA,NA,NA,NA,NA,NA,0.11,0.09,0.97,38.32,NA,NA,NA,NA,NA,NA
5762,NA,NA,NA,NA,NA,NA,NA,NA,1.06,0.86,0.7,38.52,NA,NA,NA,NA,NA,NA
9757,NA,NA,NA,NA,NA,NA,NA,NA,0.64,0.46,0.92,42.39,NA,NA,NA,NA,NA,NA
9758,NA,NA,NA,NA,NA,NA,NA,NA,8.3,5.98,0.92,75.15,NA,NA,NA,NA,NA,NA
5022,NA,NA,NA,NA,NA,NA,NA,NA,27.01,25.24,0.74,612.41,5.1,4.77,0.74,116.48,2391.5,9275.93
9761,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.92,154.75,NA,NA,NA,NA,NA,NA
9734,NA,NA,NA,NA,NA,NA,NA,NA,1.7,1.41,0.97,4.16,NA,NA,NA,NA,NA,NA
5009,NA,NA,NA,NA,NA,NA,NA,NA,8.32,7.78,0.74,237.04,NA,NA,NA,NA,NA,NA
5007,NA,NA,NA,NA,NA,NA,NA,NA,64.79,51.56,0.78,4479.52,NA,NA,NA,NA,1336,9275.93
5700,NA,NA,NA,NA,NA,NA,NA,NA,5.31,4.32,0.7,235.5,9.72,7.91,0.7,337.1,3155,11395.1
9749,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.92,99.68,NA,NA,NA,NA,NA,NA
9723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.64,1.36,0.97,338.42,500,6833.08
9713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.9,20.83,0.78,928.5,1191,17487
9710,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.18,1.81,0.97,1127.46,1100,17487
5749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.53,0.93,0.88,167.5,NA,NA
5738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.76,4.91,0.79,179.98,12148,23728
9730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.76,0.83,0.92,438.98,NA,NA
9769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.07,18.79,0.92,655.2,NA,NA
5010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.37,5.02,0.74,285.34,960,9275.93
5008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.84,4.52,0.74,169.34,1955,9275.93
5019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.33,20.87,0.74,585.56,NA,NA
9709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.09,5.11,0.92,1127.46,NA,NA
9708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.09,5.11,0.92,NA,33825,12112.84
5001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.73,4.89,0.79,328.86,3400,9275.93
5004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.73,4.89,0.79,328.86,1300,9275.93
9707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126.72,105.12,0.97,3125.8,1000,6833.08
5902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.28,14.28,0.74,258.37,NA,NA
5725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20045008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20045010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20045023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.53,7.76,0.7,349.46,NA,NA
9715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.9,28.12,0.97,928.5,563,19127
5006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.44,4.33,0.78,389.52,1275,9275.93
